OBJECTID,LINEABBR,LINENAME,RTNAME,Shape__Length
1,1,SO.MIAMI HTS-PERRINE VIA SOUTHLAND,Route 1,18121.76413
2,10,SKYLAKE - OMNI - VIA NE12 & 2AVE,Route 10,27825.75358
3,101,A-VIA VENETIAN CAUSEWAY,Route 101,7657.871052
4,102,B-BRICKELL STATION-KEY BISCAYNE,Route 102,33509.55873
5,103,C-MT SINAI HOSP-SOUTH POINTE,Route 103,16718.17275
6,104,HAMMOCKS-MDC-DADELAND NO.VIA 104 ST,Route 104,52959.2971
7,105,E-GOLDEN GLDS.-AVENTURA/HALLANDALE,Route 105,54576.45104
8,107,G-MDC NORTH - BEACH/96 ST,Route 107,23210.28722
9,108,H-163 ST MALL - HAULOVER,Route 108,19988.36476
10,11,FIU-DOWNTOWN VIA FLAGLER ST,Route 11,36992.62332
11,110,J-MIAMI BCH-MIA STAT  VIA 36 ST,Route 110,29220.75491
12,112,L-HIALEAH-MIA BCH/LINC RD VIA 79 ST,Route 112,52462.39493
13,113,M-CIVIC CENTER-MIAMI BEACH,Route 113,40283.42607
14,115,MID-NORTH-BEACH CONNECTION,Route 115,26656.55769
15,119,S-AVENTURA-DOWNTOWN VIA COLLINS AVE,Route 119,71199.21798
16,12,NORTHSIDE - MERCY HOSP.,Route 12,30282.89262
17,120,BEACH MAX: DOWNTOWN-AVENTURA MALL,Route 120,73551.96203
18,132,HIA.TRI-RAIL STA-DORAL VIA 36ST,Route 132,26907.12371
19,135,135_STREET CROSSTOWN,Route 135,47378.26048
20,136,DOUGLAS RD-OLD CUTLER-SW 136 ST,Route 136,22530.71322
21,137,WEST DADE CONNECTION,Route 137,71569.94874
22,150,MIAMI BEACH AIRPORT FLYER,Route 150,45459.68151
23,155,BISCAYNE GARDENS CIRCULATOR,Route 155,3281.61483
24,16,163 ST-OMNI VIA 16AV & BISC. BLVD,Route 16,23702.48286
25,17,NORWOOD - VIZCAYA VIA NW-SW17AVE,Route 17,55290.46929
26,183,NW 67 AV/186 ST - AVENTURA,Route 183,44790.84655
27,19,163 ST MALL-MDC NORTH,Route 19,20373.97542
28,195,DADE-BROWARD EXPRESS (BROWARD BLVD),Route 195,94594.46702
29,196,DADE-BROWARD EXPRESS (SHERIDAN ST),Route 196,72581.62862
30,2,DOWNTOWN-163 ST MALL VIA NW 2 AVE,Route 2,33581.39012
31,200,CUTLER BAY LOCAL,Route 200,24458.07411
32,202,LITTLE HAITI CONNECTION,Route 202,16271.51537
33,204,KILLIAN KAT,Route 204,46764.63677
34,207,LITTLE HAVANA CONNECTION,Route 207,12369.27687
35,208,LITTLE HAVANA CONNECTION,Route 208,13053.28169
36,21,NORTHSIDE - DOWNTOWN,Route 21,22634.87557
37,210,SKYLAKE CIRCULATOR,Route 210,15335.23122
38,211,OVERTOWN CIRCULATOR,Route 211,7637.235784
39,212,SWEETWATER CIRCULATOR,Route 212,5788.708924
40,217,BUNCHE PARK CIRCULATOR,Route 217,13549.08913
41,22,163 ST MALL-COCO GROVE VIA 22 AVE,Route 22,68778.40951
42,238,EAST-WEST CONNECTION,Route 238,33756.32958
43,24,CORAL WAY LIMITED,Route 24,58859.70056
44,246,NIGHT OWL,Route 246,59945.69006
45,252,CORAL REEF MAX,Route 252,35604.37609
46,254,BROWNSVILLE CIRCULATOR,Route 254,11610.3171
47,267,LUDLAM LIMITED,Route 267,25165.18478
48,27,COCO GROVE-CALDER VIA NW 27 AVE,Route 27,73015.10717
49,272,SUNSET KAT,Route 272,38001.15021
50,277,7 AVE MAX,Route 277,26553.38175
51,286,NORTH POINTE CIRCULATOR,Route 286,13350.22912
52,287,SAGA BAY MAX,Route 287,25653.94894
53,288,KENDALL CRUISER,Route 288,41692.38132
54,29,HIALEAH TRIANGLE-MIAMI LAKES,Route 29,27448.33821
55,295,I-95 FT LAUD-CIVIC CENTER EXPRESS,Route 295,92177.31017
56,296,I-95 SHERIDAN-CIVIC CENTER EXPRESS,Route 296,70013.44197
57,297,27 AVE ORANGE MAX,Route 297,51336.38231
58,3,AVENTURA-DOWNTOWN VIA BISC.BLVD.,Route 3,48008.66902
59,301,DADE/MONROE EXPRESS,Route 301,183694.4116
60,302,CARD SOUND EXPRESS,Route 302,40355.40664
61,31,BUSWAY LOCAL CUTLER BAY-DADELAND SO,Route 31,19552.09643
62,32,MIAMI GRDNS-OMNI VIA NW 32 AVE-20ST,Route 32,48783.1948
63,33,HIA GRDNS-BISC BLVD VIA 49/103 ST,Route 33,37866.24297
64,338,WEEKEND EXPRESS,Route 338,33527.80018
65,34,EXPRESS: FLA CITY TO DADELAND SO,Route 34,36011.39167
66,344,MDC HOMESTEAD TO FLA CITY,Route 344,23828.63576
67,35,MDC KENDALL-FLA.CITY VIA CUTLER BAY,Route 35,105032.109
