OBJECTID,PZIPCODEID,ZIP,ZIPCODE,Shape__Area,Shape__Length,bus_stops,median_income,median_population
2,33010,33010,33010,13170509.94,19851.54006,143,24150,48455
71,33012,33012,33012,19354879.23,20143.28278,170,32989,74735
81,33013,33013,33013,13323166.18,17360.79621,133,31604,34940
72,33014,33014,33014,24273646.95,26919.43105,108,42723,43638
16,33015,33015,33015,20874771.66,19459.78526,68,51686,72496
17,33016,33016,33016,15034500.96,20898.47465,66,42175,50660
14,33018,33018,33018,71384024.69,38504.87667,2,57172,53260
80,33030,33030,33030,105366554.2,54244.47919,103,34010,37399
36,33031,33031,33031,95145370.47,62856.70128,0,67652,6450
86,33032,33032,33032,73072659.51,48804.96241,115,45511,47379
85,33033,33033,33033,64622805.47,63451.95366,88,46082,63799
15,33034,33034,33034,369211271.9,82028.97095,84,33006,22703
1,33035,33035,33035,291742760.5,85419.89294,0,54540,17455
4,33037,33037,33037,547077.8262,3500.649627,0,70055,12684
21,33039,33039,33039,9367731.055,18387.11145,3,14999,145
50,33054,33054,33054,27427851.7,25300.68577,175,24634,31515
48,33055,33055,33055,20338051.33,19890.52007,136,41581,46157
47,33056,33056,33056,20578732.04,19964.23718,159,41243,37859
10,33101,33101,33101,21930.09375,607.5431478,NA,NA,NA
11,33109,33109,33109,2395340.465,7248.690453,0,225000,558
5,33116,33116,33116,30251.13281,802.5318711,NA,NA,NA
30,33122,33122,33122,17860316.26,23585.11814,26,25000,8
61,33125,33125,33125,11747247.34,17308.72595,121,25014,57638
88,33126,33126,33126,20077618.75,29065.8167,101,34576,50562
51,33127,33127,33127,10577699.32,16107.27864,204,27243,30856
28,33128,33128,33128,1436517.555,8273.915019,39,20670,9024
52,33129,33129,33129,5875200.775,16062.60534,51,63701,16536
56,33130,33130,33130,3521381.492,10238.09186,65,31844,29810
29,33131,33131,33131,6912003.176,13899.93361,34,90862,21055
32,33132,33132,33132,9655488.311,18185.17349,,68734,14506
65,33133,33133,33133,14510933.33,23757.82851,,69827,33667
63,33134,33134,33134,16723632.09,20066.53133,,62511,40698
34,33135,33135,33135,7028244.088,16582.55549,,25781,38445
58,33136,33136,33136,4515620.18,10568.39776,,21870,15069
59,33137,33137,33137,10971285.56,14712.01825,,57247,22190
64,33138,33138,33138,17625577.63,20577.90318,,43666,30847
60,33139,33139,33139,16304356.21,18996.53164,,53520,42566
9,33140,33140,33140,29687395.38,23553.91466,,67582,23265
44,33141,33141,33141,22344718.52,21418.09494,,42663,37593
53,33142,33142,33142,23027037.6,22587.94908,,23488,58387
31,33143,33143,33143,26552837.53,31521.14586,,70732,33728
87,33144,33144,33144,9990074.725,19746.67274,,40165,28614
62,33145,33145,33145,8071064.051,17346.1433,,43452,31831
19,33146,33146,33146,10434205.06,17398.97289,,114965,17329
12,33147,33147,33147,23572864.11,21148.28537,,27482,50825
68,33149,33149,33149,24020126,36099.52547,52,121058,14760
66,33150,33150,33150,11429813.04,19565.16003,,28754,29767
23,33151,33151,33151,862.7929688,142.4680429,,NA,NA
26,33152,33152,33152,191824.5273,2168.446433,,NA,NA
7,33153,33153,33153,487.1425781,110.4048456,,NA,NA
3,33154,33154,33154,10036691.51,15339.77069,,72073,15489
18,33155,33155,33155,25859743.67,26388.78165,,62269,45794
67,33156,33156,33156,44737542.66,36939.75877,,104397,33421
84,33157,33157,33157,49002584.32,39252.76184,,59838,67776
55,33158,33158,33158,11331375.07,21868.89827,,148072,6862
42,33160,33160,33160,18068848.59,23359.0816,90,56518,48501
37,33161,33161,33161,17674384.72,21961.36543,,34392,56403
38,33162,33162,33162,17445990.16,20592.29972,,40309,45106
35,33165,33165,33165,25692211.43,22917.71064,,48158,57135
33,33166,33166,33166,31122894.18,29068.22792,,49547,24523
40,33167,33167,33167,14429898.92,21613.26811,,36269,20299
73,33168,33168,33168,11663635.84,19657.08329,,47607,26413
25,33169,33169,33169,23102212.93,25767.47669,,41816,42720
70,33170,33170,33170,48833792.2,65633.0726,,49424,13443
78,33172,33172,33172,24080008.26,24058.51266,,45627,42718
69,33173,33173,33173,17921664.64,21782.07003,,63951,35972
77,33174,33174,33174,10111426.87,17648.1972,,41599,34480
79,33175,33175,33175,25019123.91,22977.43516,,53351,57234
41,33176,33176,33176,39631726.27,34573.93756,,69508,53404
83,33177,33177,33177,40961644.66,30546.66466,,57552,62037
22,33178,33178,33178,198785703.3,62870.32403,,81231,55867
39,33179,33179,33179,18394059.24,19688.77789,,46161,47380
45,33180,33180,33180,12316122.04,14755.75665,74,70235,37331
20,33181,33181,33181,15413268.75,17540.56717,,43631,21505
75,33182,33182,33182,27834345.71,26593.63074,,68096,14807
74,33183,33183,33183,18784411.62,21207.08434,,54090,38730
76,33184,33184,33184,9798440.67,16376.06834,,49727,22350
46,33185,33185,33185,46761683.28,33800.03663,,83360,32376
49,33186,33186,33186,39609545.11,30857.07673,,68265,73624
57,33187,33187,33187,128666865.1,52893.33227,,79053,19265
54,33189,33189,33189,16409714.04,24994.60116,,55785,27630
24,33190,33190,33190,10716147.66,17342.89961,,61128,14945
13,33192,33192,33192,31091158.6,23590.97414,NA,NA,NA
27,33193,33193,33193,36547253.88,33881.74099,,55519,51292
82,33194,33194,33194,13896511.8,20142.37532,,86728,8796
43,33196,33196,33196,113010574.2,48088.42721,,71133,54038
6,33197,33197,33197,22150.21094,651.3391778,NA,NA,NA
8,33283,33283,33283,315.6660156,97.20094465,NA,NA,NA
